City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Namatanai,PG,-3.6667,152.4333,78.87,84,100,2.51,light rain
116,Saldanha,ZA,-33.0117,17.9442,63.3,74,0,6.26,clear sky
117,Doha,QA,25.2867,51.5333,84.18,16,0,5.75,clear sky
118,Arraial Do Cabo,BR,-22.9661,-42.0278,78.55,78,13,8.12,few clouds
119,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,10.36,broken clouds
120,Victoria,HK,22.2855,114.1577,66.38,72,0,15.99,clear sky
121,Torbay,CA,47.6666,-52.7314,42.28,75,100,21.85,overcast clouds
122,Jiaohe,CN,43.7286,127.3447,41.25,58,0,5.91,clear sky
123,Bolobo,CD,-2.1667,16.2333,78.31,73,92,0.81,overcast clouds
124,Nsanje,MW,-16.92,35.262,75.4,93,62,2.71,broken clouds
125,Jhinjhak,IN,26.5667,79.7333,85.96,6,3,4.92,clear sky
126,Ponta Do Sol,PT,32.6667,-17.1,61.0,84,100,13.31,overcast clouds
127,Clyde River,CA,70.4692,-68.5914,13.5,88,62,1.7,broken clouds
128,Cape Town,ZA,-33.9258,18.4232,68.41,75,40,13.8,scattered clouds
129,Salalah,OM,17.0151,54.0924,79.72,58,2,0.83,clear sky
130,Rio Gallegos,AR,-51.6226,-69.2181,49.51,50,91,28.45,overcast clouds
131,Quelimane,MZ,-17.8786,36.8883,75.34,87,44,5.26,scattered clouds
132,Barrow,US,71.2906,-156.7887,-7.58,71,0,16.11,clear sky
133,Aniva,RU,46.7144,142.5294,37.98,86,0,15.23,clear sky
134,Paamiut,GL,61.994,-49.6678,34.63,80,96,7.67,overcast clouds
135,Mabaruma,GY,8.2,-59.7833,85.69,57,91,7.94,overcast clouds
136,Dauphin,CA,51.1494,-100.0502,31.84,80,85,2.17,overcast clouds
137,Beringovskiy,RU,63.05,179.3167,-9.83,94,76,13.82,broken clouds
138,Chuy,UY,-33.6971,-53.4616,71.15,70,100,10.56,moderate rain
139,Kavieng,PG,-2.5744,150.7967,80.69,80,95,6.35,moderate rain
140,Waingapu,ID,-9.6567,120.2641,77.14,82,67,2.57,broken clouds
141,Kharp,RU,66.8014,65.8081,7.77,98,78,6.04,broken clouds
142,Provideniya,RU,64.3833,-173.3,0.27,76,0,8.25,clear sky
143,San Cristobal,VE,7.7669,-72.225,83.39,48,95,6.51,overcast clouds
144,Kapaa,US,22.0752,-159.319,72.19,88,54,3.0,broken clouds
145,Razumnoye,RU,50.5344,36.6846,36.68,80,75,8.95,broken clouds
146,Russell,US,32.3502,-85.1999,71.96,40,0,7.18,clear sky
147,Mbala,ZM,-8.8402,31.3659,62.58,89,94,3.33,overcast clouds
148,Talnakh,RU,69.4865,88.3972,3.54,97,98,4.45,overcast clouds
149,Yellowknife,CA,62.456,-114.3525,12.42,76,90,11.99,overcast clouds
150,Dingle,PH,10.9995,122.6711,75.88,88,60,6.91,broken clouds
151,Kodiak,US,57.79,-152.4072,33.12,94,94,6.13,light snow
152,Dikson,RU,73.5069,80.5464,-1.62,99,87,9.51,overcast clouds
153,Kungurtug,RU,50.5994,97.5228,30.7,85,99,2.08,overcast clouds
154,Pevek,RU,69.7008,170.3133,-21.21,96,18,3.11,few clouds
155,Cidreira,BR,-30.1811,-50.2056,68.92,94,100,15.12,overcast clouds
156,Buchanan,LR,5.8808,-10.0467,83.32,72,59,10.85,broken clouds
157,Antalaha,MG,-14.9003,50.2788,77.34,83,45,10.16,scattered clouds
158,Nouadhibou,MR,20.931,-17.0347,65.3,84,0,12.12,clear sky
159,Lasa,IT,46.6166,10.7002,43.7,91,99,1.23,overcast clouds
160,Kirakira,SB,-10.4544,161.9205,80.24,85,93,8.14,overcast clouds
161,Klaksvik,FO,62.2266,-6.589,47.32,98,100,18.39,overcast clouds
162,Rio Cuarto,AR,-33.1307,-64.3499,67.68,28,1,17.07,clear sky
163,Khatanga,RU,71.9667,102.5,-25.82,100,99,4.59,overcast clouds
164,Saskylakh,RU,71.9167,114.0833,-6.45,98,100,8.32,overcast clouds
165,Keti Bandar,PK,24.1447,67.4497,79.41,63,0,9.84,clear sky
166,Sinnamary,GF,5.3833,-52.95,80.58,83,37,11.25,scattered clouds
167,Tomatlan,MX,19.9333,-105.25,83.82,41,98,4.65,overcast clouds
168,Najran,SA,17.4924,44.1277,74.28,11,2,7.47,clear sky
169,Luau,AO,-10.7073,22.2247,67.73,93,87,3.83,overcast clouds
170,Kohima,IN,25.6667,94.1167,59.92,82,9,3.53,moderate rain
171,Itoman,JP,26.1247,127.6694,66.22,72,100,11.5,overcast clouds
172,Sao Sebastiao,BR,-23.76,-45.4097,81.16,71,22,6.6,few clouds
173,Lagoa,PT,39.05,-27.9833,59.34,79,5,19.44,clear sky
